Season,Period,Import,Export
Low Demand,Peak,239.97,159.92
Low Demand,Standard,158.13,110.05
Low Demand,Off-Peak,118.59,69.82
High Demand,Peak,752.5,490.27
High Demand,Standard,225.85,148.54
High Demand,Off-Peak,132.69,80.66
